t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 16:16:54,1657037813.0,15,511.0,91.2,4.4,128.0,0,0,4.422412725627017,128.0,0,244620045,8.35551884961603,357.8225099715551,0.0,0.0,54.365709,10.144851,1,0.010654
2022-07-05 16:17:00,1657037813.0,15,511.0,91.2,4.4,128.0,0,0,4.561381772554804,128.0,0,244620045,8.35551884961603,357.8225099715551,0.0,0.0,54.3657,10.145084,1,0.023004
2022-07-05 16:17:06,1657037813.0,15,511.0,91.2,4.4,128.0,0,0,4.686694915740989,128.0,0,244620045,8.360269890319797,357.09776819517015,0.724741776384974,2.8506244222597843,54.365688,10.145317,1,0.042469
2022-07-05 16:17:12,1657037842.0,15,511.0,99.5,4.9,128.0,0,0,4.791032753040179,128.0,0,244620045,8.364189357684271,356.6151099604696,0.4826582347005228,2.35168041868441,54.365674,10.14555,1,0.041367
2022-07-05 16:17:18,1657037842.0,15,511.0,99.5,4.9,128.0,0,0,4.867075882306983,128.0,0,244620045,8.371194502141842,355.89204442897136,0.7230655314982641,4.203086674542433,54.365657,10.145783,1,0.040593
2022-07-05 16:17:24,1657037842.0,15,511.0,99.5,4.9,128.0,0,0,4.909145073020884,128.0,0,244620045,8.338099970156366,355.6326324695675,0.2594119594038488,-19.856719191285777,54.365639,10.146015,1,0.039939
2022-07-05 16:17:30,1657037842.0,15,511.0,99.5,4.9,128.0,0,0,4.934606953339519,128.0,0,244620045,8.389245140111617,354.4500661646844,1.182566304883153,30.68710197315099,54.365616,10.146248,1,0.039818
2022-07-05 16:17:36,1657037842.0,15,511.0,99.5,4.9,128.0,0,0,4.953214680053421,128.0,0,244620045,8.404257618249128,353.4925380946146,0.9575280700697704,9.0074868825063,54.365589,10.146481,1,0.040134
2022-07-05 16:17:42,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,4.969001673248538,128.0,0,244620045,8.38611279767909,352.5068515464062,0.9856865482083776,-10.886892342022849,54.365558,10.146713,1,0.040897
2022-07-05 16:17:48,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,4.98600135301082,128.0,0,244620045,8.360245183721686,351.9953982820901,0.5114532643160601,-15.520568374442332,54.365525,10.146944,1,0.04189
2022-07-05 16:17:54,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.008019918851921,128.0,0,244620045,8.299624121372808,351.4441436412326,0.5512546408575645,-36.37263740932646,54.36549,10.147173,1,0.043123
2022-07-05 16:18:00,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.034778226920951,128.0,0,244620045,8.299624102096912,351.4441496691948,6.0279621720837895e-06,-1.15655378607471e-05,54.365455,10.147402,1,0.044356
2022-07-05 16:18:06,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.065154888534756,128.0,0,244620045,8.310552244175799,350.9631056972202,0.4810439719745432,6.556885247332289,54.365418,10.147631,1,0.045807
2022-07-05 16:18:12,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.098597723189608,128.0,0,244620045,8.322071905674184,350.4833436410388,0.4797620561814142,6.911796899030875,54.365379,10.14786,1,0.047476
2022-07-05 16:18:18,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.134554550381772,128.0,0,244620045,8.32805276379342,350.24396613610224,0.2393775049365558,3.5885148715411925,54.365339,10.148089,1,0.051471
2022-07-05 16:18:24,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.172473189607519,128.0,0,244620045,8.340455058065004,349.7662428047419,0.4777233313603233,7.441376562950808,54.365297,10.148318,1,0.065389
2022-07-05 16:18:30,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.211801460363115,128.0,0,244620045,8.311648480746443,349.4830114206609,0.2832313840810343,-17.28394639113624,54.365254,10.148546,1,0.085015
2022-07-05 16:18:36,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.251987182144831,128.0,0,244620045,8.318242950365136,349.244081145373,0.2389302752878848,3.9566817712152864,54.36521,10.148774,1,0.107284
2022-07-05 16:18:42,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.292478174448936,128.0,0,244620045,8.303795754603701,348.48039084489267,0.7636903004803344,-8.668317456860564,54.365163,10.149001,1,0.130889
2022-07-05 16:18:48,1657037872.0,15,511.0,102.5,5.0,128.0,0,0,5.332722256771697,128.0,0,244620045,8.303795628458548,348.4803987948802,7.949987548272475e-06,-7.568709179395228e-05,54.365116,10.149228,1,0.138131
2022-07-05 16:18:54,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.372167248609384,128.0,0,244620045,8.290846535739954,347.7141338270324,0.7662649678478601,-7.769455631156673,54.365066,10.149454,1,0.137274
2022-07-05 16:19:00,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.410260969458264,128.0,0,244620045,8.298520785637447,347.4761050583306,0.2380287687017812,4.604549938495595,54.365015,10.14968,1,0.136309
2022-07-05 16:19:06,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.446451238814608,128.0,0,244620045,8.244509828573355,346.8892950845937,0.5868099737368766,-32.40657423845512,54.364962,10.149904,1,0.135088
2022-07-05 16:19:12,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.480185876174682,128.0,0,244620045,8.226191050878809,346.3539307148542,0.5353643697395114,-10.991266616727556,54.364907,10.150127,1,0.133632
2022-07-05 16:19:18,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.510912701034757,128.0,0,244620045,8.243335082634205,345.8772487927165,0.4766819221376863,10.28641905323795,54.36485,10.15035,1,0.13196
2022-07-05 16:19:24,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.5380795328911,128.0,0,244620045,8.182740775834706,345.5151408527299,0.3621079399865721,-36.35658407969977,54.364792,10.150571,1,0.13014
2022-07-05 16:19:30,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.56113419123998,128.0,0,244620045,8.175632056880023,344.7339285583076,0.7812122944223461,-4.265231372809808,54.364731,10.150791,1,0.127977
2022-07-05 16:19:36,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.579524495577668,128.0,0,244620045,8.15059984048072,344.4282564413837,0.3056721169238585,-15.019329839581983,54.364669,10.15101,1,0.125686
2022-07-05 16:19:42,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.592698265400428,128.0,0,244620045,8.10124595531429,343.8112462216433,0.6170102197404503,-29.61233109985741,54.364605,10.151227,1,0.12314
2022-07-05 16:19:48,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.600103320204533,128.0,0,244620045,8.063256109264366,342.946632864267,0.8646133573762995,-22.7939076299549,54.364538,10.151442,1,0.12023
2022-07-05 16:19:54,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.601231481481482,128.0,0,244620045,8.084488426886598,342.4683631878163,0.4782696764506795,12.739390573339191,54.364469,10.151657,1,0.117104
2022-07-05 16:20:00,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.596627314814814,128.0,0,244620045,8.695392568594103,340.80320867573965,1.66515451207664,366.5424850245036,54.364388,10.151886,1,0.112966
2022-07-05 16:20:06,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.587554398148148,128.0,0,244620045,9.29193550585266,339.075736611646,1.7274720640936607,357.9257623551339,54.364294,10.152128,1,0.107688
2022-07-05 16:20:12,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.575231481481481,128.0,0,244620045,9.54366294190338,337.60131714559355,1.4744194660524386,151.03646163043186,54.364191,10.152374,1,0.102238
2022-07-05 16:20:18,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.560877314814815,128.0,0,244620045,9.580230956354814,336.54330948672106,1.0580076588724978,21.94080867086079,54.364083,10.152619,1,0.103239
